"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"r4.4xlarge","Memory optimized",16,122,"x86_64","1.0640",0,"",0,8
"r4.8xlarge","Memory optimized",32,244,"x86_64","2.1280",0,"",0,16
"r4.16xlarge","Memory optimized",64,488,"x86_64","4.2560",0,"",0,32
"r5.large","Memory optimized",2,16,"x86_64","0.1260",0,"",0,1
"r5.xlarge","Memory optimized",4,32,"x86_64","0.2520",0,"",0,2
"r5.2xlarge","Memory optimized",8,64,"x86_64","0.5040",0,"",0,4
"r5.4xlarge","Memory optimized",16,128,"x86_64","1.0080",0,"",0,8
"r5.8xlarge","Memory optimized",32,256,"x86_64","2.0160",0,"",0,16
"r5.12xlarge","Memory optimized",48,384,"x86_64","3.0240",0,"",0,24
"r5.16xlarge","Memory optimized",64,512,"x86_64","4.0320",0,"",0,32
"r5.24xlarge","Memory optimized",96,768,"x86_64","6.0480",0,"",0,48
"r5.metal","Memory optimized",96,768,"x86_64","6.0480",0,"",0,48
"r5a.large","Memory optimized",2,16,"x86_64","0.1130",0,"",0,1
"r5a.xlarge","Memory optimized",4,32,"x86_64","0.2260",0,"",0,2
"r5a.2xlarge","Memory optimized",8,64,"x86_64","0.4520",0,"",0,4
"r5a.4xlarge","Memory optimized",16,128,"x86_64","0.9040",0,"",0,8
"r5a.8xlarge","Memory optimized",32,256,"x86_64","1.8080",0,"",0,16
"r5a.12xlarge","Memory optimized",48,384,"x86_64","2.7120",0,"",0,24
"r5a.16xlarge","Memory optimized",64,512,"x86_64","3.6160",0,"",0,32
"r5a.24xlarge","Memory optimized",96,768,"x86_64","5.4240",0,"",0,48
"r5ad.large","Memory optimized",2,16,"x86_64","0.1310",0,"",0,1
"r5ad.xlarge","Memory optimized",4,32,"x86_64","0.2620",0,"",0,2
"r5ad.2xlarge","Memory optimized",8,64,"x86_64","0.5240",0,"",0,4
"r5ad.4xlarge","Memory optimized",16,128,"x86_64","1.0480",0,"",0,8
"r5ad.8xlarge","Memory optimized",32,256,"x86_64","2.0960",0,"",0,16
"r5ad.12xlarge","Memory optimized",48,384,"x86_64","3.1440",0,"",0,24
"r5ad.16xlarge","Memory optimized",64,512,"x86_64","4.1920",0,"",0,32
"r5ad.24xlarge","Memory optimized",96,768,"x86_64","6.2880",0,"",0,48
"r5b.large","Memory optimized",2,16,"x86_64","0.1490",0,"",0,1
"r5b.xlarge","Memory optimized",4,32,"x86_64","0.2980",0,"",0,2
"r5b.2xlarge","Memory optimized",8,64,"x86_64","0.5960",0,"",0,4
"r5b.4xlarge","Memory optimized",16,128,"x86_64","1.1920",0,"",0,8
"r5b.8xlarge","Memory optimized",32,256,"x86_64","2.3840",0,"",0,16
"r5b.12xlarge","Memory optimized",48,384,"x86_64","3.5760",0,"",0,24
"r5b.16xlarge","Memory optimized",64,512,"x86_64","4.7680",0,"",0,32
"r5b.24xlarge","Memory optimized",96,768,"x86_64","7.1520",0,"",0,48
